ensembl_base,logFC,logCPM,F,PValue,FDR,gene_ensembl,grouping_gene,project_id,gene_name
ENSG00000000003,0.142042207785319,6.11381391120408,4.23397927541102,0.0401249421392401,0.076192758323279,ENSG00000000003.15,HSPD1,TCGA-LUSC,TSPAN6
ENSG00000000419,0.118089515372511,5.61138513505375,5.40718675586463,0.0204413678273209,0.043133945773171,ENSG00000000419.13,HSPD1,TCGA-LUSC,DPM1
ENSG00000000457,0.0390916038209707,3.87531400192842,0.906134875709065,0.341588513021196,0.443795330061012,ENSG00000000457.14,HSPD1,TCGA-LUSC,SCYL3
ENSG00000000460,0.297572174316633,3.81182604878416,26.2657167077479,4.21530984039379e-7,3.8623329268015e-6,ENSG00000000460.17,HSPD1,TCGA-LUSC,C1orf112
ENSG00000000938,-0.547004339237425,4.20474967619509,32.4546678433314,2.05382646265342e-8,2.85037468426319e-7,ENSG00000000938.13,HSPD1,TCGA-LUSC,FGR
ENSG00000000971,-0.328683296893233,6.44168343802493,9.78785807910489,0.00185609088530521,0.00552471729822427,ENSG00000000971.16,HSPD1,TCGA-LUSC,CFH
ENSG00000001036,-0.0293098469780336,5.50630564743844,0.255679223503921,0.613320463510569,0.702276520450222,ENSG00000001036.14,HSPD1,TCGA-LUSC,FUCA2
ENSG00000001084,0.61007389387713,7.93560151028841,22.5063969176156,2.71589430484673e-6,1.92942366056148e-5,ENSG00000001084.13,HSPD1,TCGA-LUSC,GCLC
ENSG00000001167,0.186909565689284,5.32892684284017,18.1438670161534,2.43519384280968e-5,1.3092843050199e-4,ENSG00000001167.14,HSPD1,TCGA-LUSC,NFYA
ENSG00000001460,0.0273120000021597,4.12986577023283,0.215828177523898,0.642433475907431,0.72714117998396,ENSG00000001460.18,HSPD1,TCGA-LUSC,STPG1
ENSG00000001461,0.0565317427079582,5.33410504411848,1.26041987791366,0.262094431262157,0.359220938175014,ENSG00000001461.17,HSPD1,TCGA-LUSC,NIPAL3
ENSG00000001497,0.240537957307581,5.76258504700898,35.5960604077721,4.5166768944514706e-9,7.83431236734305e-8,ENSG00000001497.18,HSPD1,TCGA-LUSC,LAS1L
ENSG00000001561,-0.087843058762016,3.98968769243333,0.652959560530387,0.419429560216079,0.522188307545433,ENSG00000001561.7,HSPD1,TCGA-LUSC,ENPP4
ENSG00000001617,-0.0691417631459825,6.71302212255675,0.925441147371073,0.336501528024253,0.438591687358821,ENSG00000001617.12,HSPD1,TCGA-LUSC,SEMA3F
ENSG00000001626,-0.961812722317134,2.99419093896871,30.6053819981718,5.04050230749069e-8,6.16952047933025e-7,ENSG00000001626.16,HSPD1,TCGA-LUSC,CFTR
ENSG00000001629,-0.0170746040557397,6.23077913032185,0.110482892960103,0.739730201132058,0.806975170167846,ENSG00000001629.10,HSPD1,TCGA-LUSC,ANKIB1
ENSG00000001630,0.337356200232894,1.69716872193501,14.7617784872071,1.3728489013518e-4,5.8945791046128e-4,ENSG00000001630.17,HSPD1,TCGA-LUSC,CYP51A1
ENSG00000001631,-0.101793655252716,2.87358164820121,3.21331654162446,0.0736285097431017,0.12663811924283,ENSG00000001631.16,HSPD1,TCGA-LUSC,KRIT1
ENSG00000002016,0.0252182548966607,3.47830146953634,0.187172870656715,0.665461224821905,0.747060425690055,ENSG00000002016.18,HSPD1,TCGA-LUSC,RAD52
ENSG00000002079,0.189236862414695,-0.209662631384347,1.66345773477656,0.197721475540218,0.285758504273752,ENSG00000002079.14,HSPD1,TCGA-LUSC,MYH16
ENSG00000002330,-0.0869928126822029,3.36329353906606,2.81832493507122,0.0938002963193265,0.154373421856357,ENSG00000002330.14,HSPD1,TCGA-LUSC,BAD
ENSG00000002549,0.0673481585392818,6.7168339171259,1.0560785384165,0.304593406838947,0.405238093418393,ENSG00000002549.12,HSPD1,TCGA-LUSC,LAP3
ENSG00000002586,-0.116131601288439,7.90239649487755,3.61173954358095,0.0579308660857882,0.103862943341584,ENSG00000002586.20,HSPD1,TCGA-LUSC,CD99
ENSG00000002586,-0.116131601288439,7.90239649487755,3.61173954358095,0.0579308660857882,0.103862943341584,ENSG00000002586.20,HSPD1,TCGA-LUSC,CD99
ENSG00000002587,-0.379065076179093,4.30252778366421,8.09801920458319,0.00460787448658927,0.0121076021546128,ENSG00000002587.10,HSPD1,TCGA-LUSC,HS3ST1
ENSG00000002726,-0.0480426116178405,2.55780805607177,0.0557524830037979,0.813433837821548,0.865261901510342,ENSG00000002726.21,HSPD1,TCGA-LUSC,AOC1
ENSG00000002745,0.287137912565137,1.80146953068778,1.57889280223306,0.209492278346983,0.29934060288661,ENSG00000002745.13,HSPD1,TCGA-LUSC,WNT16
ENSG00000002746,0.0509159433910375,1.35364448520012,0.162603037483444,0.686939650499651,0.764775069388969,ENSG00000002746.15,HSPD1,TCGA-LUSC,HECW1
ENSG00000002822,-0.507088440461645,-0.22234423294336,18.5663743384905,1.97002622511563e-5,1.0896332628806e-4,ENSG00000002822.15,HSPD1,TCGA-LUSC,MAD1L1
ENSG00000002834,0.149514673461661,7.72909368051681,10.7135810134213,0.00113488045804175,0.0036200028454104,ENSG00000002834.18,HSPD1,TCGA-LUSC,LASP1
ENSG00000002919,-0.00523600592798658,5.10567333862502,0.0113240337490225,0.915294947481205,0.940820383351982,ENSG00000002919.15,HSPD1,TCGA-LUSC,SNX11
ENSG00000002933,-0.354046030980822,5.54106772500174,11.0720509385887,9.3898365708988e-4,0.00307553720920741,ENSG00000002933.9,HSPD1,TCGA-LUSC,TMEM176A
ENSG00000003056,0.159795512190742,6.69231306442779,9.90587811851045,0.00174287072180454,0.00523645358456689,ENSG00000003056.8,HSPD1,TCGA-LUSC,M6PR
ENSG00000003096,0.458614026707418,4.62466998989238,13.0027059426611,3.4130341129445e-4,0.00129521877877999,ENSG00000003096.14,HSPD1,TCGA-LUSC,KLHL13
ENSG00000003137,-0.208528108212342,3.24810919324113,2.68978231320381,0.101604384515458,0.165039887710937,ENSG00000003137.8,HSPD1,TCGA-LUSC,CYP26B1
ENSG00000003147,0.0235543479228522,3.78470397133004,0.0365448722997019,0.848469987725886,0.89224728226188,ENSG00000003147.19,HSPD1,TCGA-LUSC,ICA1
ENSG00000003249,0.117722727515077,4.25073350000631,1.23879815517249,0.266221863671445,0.36384562780113,ENSG00000003249.15,HSPD1,TCGA-LUSC,DBNDD1
ENSG00000003393,0.40557947346847,5.08330853313553,83.2907875003712,1.5983555571879799e-18,3.78027738812011e-16,ENSG00000003393.15,HSPD1,TCGA-LUSC,ALS2
ENSG00000003400,-0.123552075934673,4.65828377286243,2.32569418870177,0.127866961633414,0.199575126410027,ENSG00000003400.15,HSPD1,TCGA-LUSC,CASP10
ENSG00000003402,-0.0933677653435988,6.64684364006214,2.89229853355464,0.0896071823622885,0.148831827032609,ENSG00000003402.20,HSPD1,TCGA-LUSC,CFLAR
ENSG00000003436,-0.0195037623080789,6.09961326912411,0.0225215517594902,0.880766670255177,0.916064555144606,ENSG00000003436.16,HSPD1,TCGA-LUSC,TFPI
ENSG00000003509,0.175629759683013,3.96941970577862,17.9478989497152,2.68997410794455e-5,1.4256737189748e-4,ENSG00000003509.16,HSPD1,TCGA-LUSC,NDUFAF7
ENSG00000003756,-0.227228761577544,5.47200107133919,26.5963563805058,3.58137599139499e-7,3.34767978117016e-6,ENSG00000003756.17,HSPD1,TCGA-LUSC,RBM5
ENSG00000003987,0.211925818226862,0.778119396509762,2.73065080191118,0.0990551677864733,0.161592727733286,ENSG00000003987.14,HSPD1,TCGA-LUSC,MTMR7
ENSG00000003989,0.0583079581032622,4.72440469212883,0.137516327750295,0.710915114806771,0.783597634918576,ENSG00000003989.18,HSPD1,TCGA-LUSC,SLC7A2
ENSG00000004059,0.0989979502809239,6.91768504425937,3.36213952241164,0.0672879174991575,0.117593301017424,ENSG00000004059.11,HSPD1,TCGA-LUSC,ARF5
ENSG00000004139,0.126169683558606,2.11368193956894,2.38150119310692,0.123395410667828,0.193873667827628,ENSG00000004139.14,HSPD1,TCGA-LUSC,SARM1
ENSG00000004142,0.375453219561555,7.17316748346403,73.187501538665,1.35547549045953e-16,2.0115079092080802e-14,ENSG00000004142.12,HSPD1,TCGA-LUSC,POLDIP2
ENSG00000004399,-0.177348474046132,6.74138593835346,5.96638003291458,0.0149160454037336,0.0331054556101438,ENSG00000004399.13,HSPD1,TCGA-LUSC,PLXND1
ENSG00000004455,0.0130750401142264,7.08584794898112,0.0774646420675099,0.780874754463097,0.839397845851937,ENSG00000004455.17,HSPD1,TCGA-LUSC,AK2
ENSG00000004468,-0.170594529716943,4.29275882527761,2.40454620466512,0.121597250394229,0.191527268137424,ENSG00000004468.13,HSPD1,TCGA-LUSC,CD38
ENSG00000004478,0.51759199457085,7.63578098842953,65.3857561319446,4.42969758810861e-15,4.67796668548865e-13,ENSG00000004478.8,HSPD1,TCGA-LUSC,FKBP4
ENSG00000004487,0.22987903694987,6.92325152050468,24.6792219955031,9.22623076115042e-7,7.48950909660065e-6,ENSG00000004487.17,HSPD1,TCGA-LUSC,KDM1A
ENSG00000004534,-0.207640949742177,5.95595303356608,13.9144308397088,2.1256704455247e-4,8.5939009020012e-4,ENSG00000004534.15,HSPD1,TCGA-LUSC,RBM6
ENSG00000004660,0.120024444047192,3.88217248520838,2.36236761154633,0.124907470381129,0.195871546032429,ENSG00000004660.15,HSPD1,TCGA-LUSC,CAMKK1
ENSG00000004700,0.0310711893402351,5.08767196835954,0.238196276916912,0.625719501217818,0.71302189586703,ENSG00000004700.16,HSPD1,TCGA-LUSC,RECQL
ENSG00000004766,-0.0510167462962034,4.62581311457431,0.998299524242637,0.318191298551391,0.419397041310191,ENSG00000004766.17,HSPD1,TCGA-LUSC,VPS50
ENSG00000004776,-0.381978480452932,-0.0291314250059158,8.99640774774901,0.00283779095592061,0.00796933131158658,ENSG00000004776.13,HSPD1,TCGA-LUSC,HSPB6
ENSG00000004777,-0.293833238677007,3.58530138873028,7.79937068420421,0.00542085975866399,0.0139217600155026,ENSG00000004777.18,HSPD1,TCGA-LUSC,ARHGAP33
ENSG00000004779,0.139970960582973,5.87869795636784,6.79379735759475,0.00941233747944941,0.0223847410150727,ENSG00000004779.10,HSPD1,TCGA-LUSC,NDUFAB1
ENSG00000004799,-0.649383814722523,3.94922644860697,17.4089388422966,3.5375688368858e-5,1.8143325150551e-4,ENSG00000004799.8,HSPD1,TCGA-LUSC,PDK4
ENSG00000004809,-0.782350671940478,-0.825703185891222,19.6522019462956,1.13284795408551e-5,6.68607039186678e-5,ENSG00000004809.14,HSPD1,TCGA-LUSC,SLC22A16
ENSG00000004838,-0.816063829160396,1.63605061465283,19.4378762940968,1.26695627524005e-5,7.35709519931595e-5,ENSG00000004838.14,HSPD1,TCGA-LUSC,ZMYND10
ENSG00000004848,0.455144672799777,-0.262273056528147,4.89912169461694,0.0273105422112204,0.0551825096472154,ENSG00000004848.8,HSPD1,TCGA-LUSC,ARX
ENSG00000004864,0.274704727999569,5.37716666013085,26.1369223326953,4.49071891722869e-7,4.0770655929998e-6,ENSG00000004864.14,HSPD1,TCGA-LUSC,SLC25A13
ENSG00000004866,0.0228553812287269,4.51921342094385,0.274237947549747,0.600728147629702,0.691624795493757,ENSG00000004866.22,HSPD1,TCGA-LUSC,ST7
ENSG00000004897,0.240338306960744,6.23550495691103,38.6881447645265,1.02922034247908e-9,2.15576087416859e-8,ENSG00000004897.12,HSPD1,TCGA-LUSC,CDC27
ENSG00000004948,0.829236635931059,-0.793978278044654,21.84182186566,3.75755733713273e-6,2.56402639662949e-5,ENSG00000004948.16,HSPD1,TCGA-LUSC,CALCR
ENSG00000004961,0.176512363443815,4.89009803009293,11.1877876668612,8.8336380887615e-4,0.00292372817500483,ENSG00000004961.15,HSPD1,TCGA-LUSC,HCCS
ENSG00000004975,0.24773934917662,5.69247112863908,20.7135019707157,6.66031446440374e-6,4.20062333095241e-5,ENSG00000004975.12,HSPD1,TCGA-LUSC,DVL2
ENSG00000005001,-0.545585833731084,5.29678006809061,16.7210633480269,5.02252641704086e-5,2.4635226247334e-4,ENSG00000005001.10,HSPD1,TCGA-LUSC,PRSS22
ENSG00000005007,0.10033517854281,7.40731143955518,3.94605433749967,0.0475106324275003,0.0878658393146855,ENSG00000005007.13,HSPD1,TCGA-LUSC,UPF1
ENSG00000005020,-0.034576902970058,5.65553111878981,0.400864485868262,0.526924010639858,0.624220476968485,ENSG00000005020.13,HSPD1,TCGA-LUSC,SKAP2
ENSG00000005022,0.172797007020233,8.76205572470288,6.41117522106318,0.0116363677324243,0.0268009463749944,ENSG00000005022.6,HSPD1,TCGA-LUSC,SLC25A5
ENSG00000005059,-0.248499832585668,4.48961569970983,11.5877688009829,7.1559750806257e-4,0.00243592824895962,ENSG00000005059.16,HSPD1,TCGA-LUSC,MCUB
ENSG00000005073,0.152955339868935,0.905893129252679,0.95548649148762,0.328790124289357,0.430409888537567,ENSG00000005073.6,HSPD1,TCGA-LUSC,HOXA11
ENSG00000005075,0.0957378886859969,5.43059550128734,2.84866947575372,0.0920546796618297,0.151941080381059,ENSG00000005075.15,HSPD1,TCGA-LUSC,POLR2J
ENSG00000005100,0.432520266867747,5.13300024133695,74.3941204186084,7.94180097421982e-17,1.26096916866896e-14,ENSG00000005100.13,HSPD1,TCGA-LUSC,DHX33
ENSG00000005102,-0.441974419100026,1.65596556823519,6.93418438985413,0.00871175204626643,0.020942332473317,ENSG00000005102.14,HSPD1,TCGA-LUSC,MEOX1
ENSG00000005108,0.254564256644383,2.55079525305574,2.39324822901751,0.122475353806028,0.192711261435241,ENSG00000005108.16,HSPD1,TCGA-LUSC,THSD7A
ENSG00000005156,0.490912417754264,5.59775337471526,87.6535611350229,2.4087195153540897e-19,7.102594363131781e-17,ENSG00000005156.12,HSPD1,TCGA-LUSC,LIG3
ENSG00000005175,0.326949194663887,5.28233001628533,71.8529889080239,2.45213516509778e-16,3.2925307628979e-14,ENSG00000005175.10,HSPD1,TCGA-LUSC,RPAP3
ENSG00000005187,0.404523413901154,2.22991490552898,10.2163606150023,0.00147765361530463,0.00454297114048177,ENSG00000005187.12,HSPD1,TCGA-LUSC,ACSM3
ENSG00000005189,0.374423367094124,2.63423181065247,28.6477891670044,1.30999900890122e-7,1.40788572862706e-6,ENSG00000005189.20,HSPD1,TCGA-LUSC,REXO5
ENSG00000005194,0.175543847328449,5.9068718324057,12.209569834784,5.1640047321581e-4,0.00184876580642781,ENSG00000005194.15,HSPD1,TCGA-LUSC,CIAPIN1
ENSG00000005206,-0.147819944159918,5.37076592324199,6.2130673761813,0.0129939978325384,0.0294204946936362,ENSG00000005206.17,HSPD1,TCGA-LUSC,SPPL2B
ENSG00000005238,-0.257930155251063,4.75330939653687,14.7144464705672,1.4058935717482e-4,6.0159844603363e-4,ENSG00000005238.20,HSPD1,TCGA-LUSC,FAM214B
ENSG00000005243,-0.0642675946515565,4.75816338998695,0.42115536724867503,0.516650232491171,0.61471170825929,ENSG00000005243.10,HSPD1,TCGA-LUSC,COPZ2
ENSG00000005249,0.263775771692226,3.45084373053951,5.9904090859083,0.0147168028551889,0.0327176156689576,ENSG00000005249.13,HSPD1,TCGA-LUSC,PRKAR2B
ENSG00000005302,-0.136363427449261,5.15013860407274,10.4967783321402,0.00127302310184151,0.0039939186855481,ENSG00000005302.19,HSPD1,TCGA-LUSC,MSL3
ENSG00000005339,0.13793291527406,6.93304817413806,7.53125340004428,0.0062752713974728,0.0157977643951236,ENSG00000005339.15,HSPD1,TCGA-LUSC,CREBBP
ENSG00000005379,-0.296050206957621,3.70732097515315,7.93417499771146,0.00503715320487889,0.013075175890794,ENSG00000005379.17,HSPD1,TCGA-LUSC,TSPOAP1
ENSG00000005381,-0.369067018824533,-1.09137114553863,9.74837394032544,0.00189231005067538,0.00561779546294255,ENSG00000005381.8,HSPD1,TCGA-LUSC,MPO
ENSG00000005421,-1.10735106217311,-0.954422425059242,31.3534288486142,3.44613185443214e-8,4.46345828607426e-7,ENSG00000005421.9,HSPD1,TCGA-LUSC,PON1
ENSG00000005436,0.309284921724252,4.24246069967955,53.1024261149987,1.1967724440956799e-12,6.106228841166819e-11,ENSG00000005436.14,HSPD1,TCGA-LUSC,GCFC2
ENSG00000005448,0.0438820811703056,4.69950746713868,0.399136531373135,0.527815709789222,0.624918167114996,ENSG00000005448.17,HSPD1,TCGA-LUSC,WDR54
ENSG00000005469,-0.312931200660878,4.75514741706358,15.2067630386159,1.0910699282042e-4,4.8395119044909e-4,ENSG00000005469.12,HSPD1,TCGA-LUSC,CROT
ENSG00000005471,-0.400815097446747,-0.105110915584457,15.8540879350424,7.83950027195885e-5,3.6329588945024e-4,ENSG00000005471.19,HSPD1,TCGA-LUSC,ABCB4
ENSG00000005483,0.0881743866778987,6.24629969510269,4.19210013490135,0.0411192336228557,0.0778010166172449,ENSG00000005483.21,HSPD1,TCGA-LUSC,KMT2E
ENSG00000005486,-0.00129075126186535,7.06482492108744,5.0544266074527e-4,0.982072131389056,0.987159011120441,ENSG00000005486.17,HSPD1,TCGA-LUSC,RHBDD2
ENSG00000005513,0.128240245304142,0.527981675384031,0.491458813566748,0.483597784836695,0.584047218336019,ENSG00000005513.10,HSPD1,TCGA-LUSC,SOX8
ENSG00000005700,0.117210510746253,5.65551118732198,7.79970749670261,0.00541974583548847,0.0139217600155026,ENSG00000005700.15,HSPD1,TCGA-LUSC,IBTK
ENSG00000005801,0.108172167923689,4.55300743893607,4.61852041594826,0.0320936490502757,0.0631662882876656,ENSG00000005801.18,HSPD1,TCGA-LUSC,ZNF195
ENSG00000005810,-0.0274136245189621,6.0776755074021,0.16185341539454,0.687622645260957,0.765210699716373,ENSG00000005810.18,HSPD1,TCGA-LUSC,MYCBP2
ENSG00000005812,-0.0772278877736644,5.19782377560483,2.43014175350928,0.119636046115062,0.188975620846619,ENSG00000005812.11,HSPD1,TCGA-LUSC,FBXL3
ENSG00000005844,-0.470485832144392,4.63838027686426,17.2741609942058,3.78855764285569e-5,1.926953433715e-4,ENSG00000005844.19,HSPD1,TCGA-LUSC,ITGAL
ENSG00000005882,-0.0564925143134213,4.01399773814951,1.14438410397306,0.285228866995645,0.384590618512745,ENSG00000005882.12,HSPD1,TCGA-LUSC,PDK2
ENSG00000005884,-0.33342966879619,8.30246217173685,6.79606140513093,0.00940056558633925,0.0223661156489398,ENSG00000005884.18,HSPD1,TCGA-LUSC,ITGA3
ENSG00000005889,0.197573637140125,5.37094755530769,11.6296237387805,7.0001660143796e-4,0.00239077571234192,ENSG00000005889.16,HSPD1,TCGA-LUSC,ZFX
ENSG00000005893,-0.0493783071322415,8.2665426069567,0.884096930605792,0.347522546514297,0.450011373252373,ENSG00000005893.16,HSPD1,TCGA-LUSC,LAMP2
ENSG00000005961,-0.0340168837364413,1.11636717944015,0.0901319235435116,0.764131657974962,0.825849876214284,ENSG00000005961.19,HSPD1,TCGA-LUSC,ITGA2B
ENSG00000005981,-0.733890653511029,-0.0271937245632052,12.402535279689,4.6734991012534e-4,0.00169833221981371,ENSG00000005981.13,HSPD1,TCGA-LUSC,ASB4
ENSG00000006007,0.0587080277250727,6.32679800196131,1.32253369300569,0.250671248868507,0.34649279834162,ENSG00000006007.12,HSPD1,TCGA-LUSC,GDE1
ENSG00000006015,-4.7664450230409e-4,4.72303912518188,4.7477550383267e-5,0.994504970100959,0.995689009001775,ENSG00000006015.18,HSPD1,TCGA-LUSC,REX1BD
ENSG00000006016,-1.30983686328704,4.15273311184147,41.0109273945565,3.41398584986024e-10,8.255010513426712e-9,ENSG00000006016.11,HSPD1,TCGA-LUSC,CRLF1
ENSG00000006025,-0.381853558354919,3.73818379593481,25.244406516441,6.97720301505495e-7,5.93101439374102e-6,ENSG00000006025.12,HSPD1,TCGA-LUSC,OSBPL7
ENSG00000006042,0.125441850250425,5.69043739743813,2.16499101781843,0.141795840442953,0.217207178930161,ENSG00000006042.12,HSPD1,TCGA-LUSC,TMEM98
ENSG00000006047,0.52116846156389,2.20305337966522,11.5078114293562,7.4650721691054e-4,0.0025275046764023,ENSG00000006047.13,HSPD1,TCGA-LUSC,YBX2
ENSG00000006059,2.20210464851316,1.11813435965286,89.4961008045661,1.1127270708876699e-19,3.55837579500064e-17,ENSG00000006059.4,HSPD1,TCGA-LUSC,KRT33A
ENSG00000006062,0.042324646287393,4.1548599485946,0.313099773557293,0.576027440113709,0.669494096996918,ENSG00000006062.17,HSPD1,TCGA-LUSC,MAP3K14
ENSG00000006071,-0.176284042386861,0.289202328649928,0.616227216237334,0.43281862185602,0.535247647562142,ENSG00000006071.15,HSPD1,TCGA-LUSC,ABCC8
ENSG00000006118,-0.263536372026637,7.10039937047979,10.9309756057143,0.00101161673902417,0.00328265800479402,ENSG00000006118.15,HSPD1,TCGA-LUSC,TMEM132A
ENSG00000006125,0.449286890182853,7.8981003648938,67.1968686067897,1.96259588356125e-15,2.17467626506012e-13,ENSG00000006125.18,HSPD1,TCGA-LUSC,AP2B1
ENSG00000006194,0.14781967985421,5.06515703314578,15.4758628368735,9.50146275991118e-5,4.287176310886e-4,ENSG00000006194.10,HSPD1,TCGA-LUSC,ZNF263
ENSG00000006210,-0.0200971715302791,6.96844395644443,0.0317353027047722,0.858679855939776,0.899775065954985,ENSG00000006210.7,HSPD1,TCGA-LUSC,CX3CL1
ENSG00000006282,-0.0277429378728419,6.01726495640009,0.167347625418119,0.682649859403578,0.761462297114136,ENSG00000006282.21,HSPD1,TCGA-LUSC,SPATA20
ENSG00000006283,-0.618671884529996,-0.203766164583189,20.0895399463869,9.13626290792133e-6,5.53613155389255e-5,ENSG00000006283.18,HSPD1,TCGA-LUSC,CACNA1G
ENSG00000006327,-0.434890494855438,6.03596402640327,15.1275403688421,1.1364418056615e-4,5.0173086111816e-4,ENSG00000006327.14,HSPD1,TCGA-LUSC,TNFRSF12A
ENSG00000006377,0.193966566990808,3.16705609976511,1.6280226646036,0.202552159096633,0.291220033706247,ENSG00000006377.11,HSPD1,TCGA-LUSC,DLX6
ENSG00000006432,0.00841811491450209,4.54959632694324,0.0119003804659823,0.913174477057107,0.939065469522244,ENSG00000006432.15,HSPD1,TCGA-LUSC,MAP3K9
ENSG00000006451,-0.00533743739581342,6.42541421511547,0.0141411459281438,0.905387811089054,0.933637489816376,ENSG00000006451.8,HSPD1,TCGA-LUSC,RALA
ENSG00000006453,0.0161504698333982,6.12588092320134,0.0768560085728572,0.781715322173434,0.840142895687604,ENSG00000006453.14,HSPD1,TCGA-LUSC,BAIAP2L1
ENSG00000006459,0.0893535032964413,5.4432839476299,2.20348006540194,0.138310968426819,0.212876256652041,ENSG00000006459.11,HSPD1,TCGA-LUSC,KDM7A
ENSG00000006468,0.21071364820014,4.70597504556851,3.4064773882134,0.0655144213723668,0.115096327550262,ENSG00000006468.14,HSPD1,TCGA-LUSC,ETV1
ENSG00000006530,0.161882724260166,5.11441600311478,17.3484705269899,3.64788129199756e-5,1.864591281738e-4,ENSG00000006530.18,HSPD1,TCGA-LUSC,AGK
ENSG00000006534,-0.494272066644471,4.48041151207798,16.0086661901448,7.22975663601485e-5,3.3859658502623e-4,ENSG00000006534.16,HSPD1,TCGA-LUSC,ALDH3B1
ENSG00000006555,0.185728875849006,5.18758112125251,4.18615421307128,0.0412625017919092,0.0780395754423406,ENSG00000006555.11,HSPD1,TCGA-LUSC,TTC22
ENSG00000006576,0.109732327321056,5.55516253025145,4.42461434573743,0.0359082378356568,0.0694874746491595,ENSG00000006576.16,HSPD1,TCGA-LUSC,PHTF2
ENSG00000006606,0.575052080648225,1.4798915611832,13.9554805136294,2.0824683063418e-4,8.4463099134495e-4,ENSG00000006606.9,HSPD1,TCGA-LUSC,CCL26
ENSG00000006607,0.108286679888667,5.42550297535271,5.24346778802033,0.0224326130537243,0.046710608894425,ENSG00000006607.14,HSPD1,TCGA-LUSC,FARP2
ENSG00000006611,0.201091585014071,1.47545172461917,1.02956130290052,0.310741007824623,0.411704182917551,ENSG00000006611.17,HSPD1,TCGA-LUSC,USH1C
ENSG00000006625,0.24651214370445,5.00221726988407,14.1992849712078,1.8343229314116e-4,7.5724185741273e-4,ENSG00000006625.18,HSPD1,TCGA-LUSC,GGCT
ENSG00000006634,0.303448912445435,4.64599568305381,24.1515300268057,1.19839807869655e-6,9.41190333253675e-6,ENSG00000006634.8,HSPD1,TCGA-LUSC,DBF4
ENSG00000006638,-0.296344663500876,1.00814523126111,15.2686691982238,1.0581505043113e-4,4.7126926638659e-4,ENSG00000006638.13,HSPD1,TCGA-LUSC,TBXA2R
ENSG00000006652,0.179557088420046,3.19953771208686,7.77526196832549,0.00549264511015674,0.0140756780164908,ENSG00000006652.15,HSPD1,TCGA-LUSC,IFRD1
ENSG00000006695,0.334787319403472,4.20330978787674,56.2665285556416,2.79214762728697e-13,1.65663951887306e-11,ENSG00000006695.12,HSPD1,TCGA-LUSC,COX10
ENSG00000006704,0.0884209122547811,5.60609319484248,2.27240984849192,0.132307768374027,0.205278657983619,ENSG00000006704.11,HSPD1,TCGA-LUSC,GTF2IRD1
ENSG00000006712,-0.0213586730385355,6.44066681450876,0.11519608659189,0.734442559402448,0.802440609750858,ENSG00000006712.15,HSPD1,TCGA-LUSC,PAF1
ENSG00000006715,0.104854727065057,6.04112932285091,6.84596527227446,0.00914492998784758,0.0218379927822969,ENSG00000006715.16,HSPD1,TCGA-LUSC,VPS41
ENSG00000006740,-0.0203092652357293,2.79775194148157,0.0342848772526369,0.85317512183836,0.895867416239189,ENSG00000006740.17,HSPD1,TCGA-LUSC,ARHGAP44
ENSG00000006744,0.276032284173841,6.12963157508305,46.592717152316,2.46385107529373e-11,8.44182857818016e-10,ENSG00000006744.19,HSPD1,TCGA-LUSC,ELAC2
ENSG00000006747,0.605292415241214,4.29952634909201,11.7376577529506,6.614008616457e-4,0.00227428541021742,ENSG00000006747.15,HSPD1,TCGA-LUSC,SCIN
ENSG00000006756,0.0543722661589055,5.4344888163955,0.535188150597872,0.464766324879584,0.566061549532827,ENSG00000006756.16,HSPD1,TCGA-LUSC,ARSD
ENSG00000006757,0.125524797762664,4.51237351517786,2.72209717364167,0.0995773535530575,0.162223702706465,ENSG00000006757.12,HSPD1,TCGA-LUSC,PNPLA4
ENSG00000006831,0.245102354699099,7.16783538922787,23.307655299794,1.8222357811535e-6,1.35874756686668e-5,ENSG00000006831.10,HSPD1,TCGA-LUSC,ADIPOR2
ENSG00000006837,-0.115979541060798,-1.05821193111577,3.86399367414645,0.0498520861047536,0.0915769915055365,ENSG00000006837.12,HSPD1,TCGA-LUSC,CDKL3
ENSG00000007038,-0.0337449227746391,4.54304990920232,0.0294330115893942,0.863850404826156,0.903623591675862,ENSG00000007038.11,HSPD1,TCGA-LUSC,PRSS21
ENSG00000007047,-0.0245251010113685,5.63091496121466,0.218413901617667,0.640448668407001,0.725457059537867,ENSG00000007047.15,HSPD1,TCGA-LUSC,MARK4
ENSG00000007062,0.299584087543992,3.71704359893971,1.83006978645207,0.176712882039101,0.260326321076239,ENSG00000007062.12,HSPD1,TCGA-LUSC,PROM1
ENSG00000007080,0.062127632714527,5.98290711117399,1.29902103367399,0.254921605958787,0.351170674875274,ENSG00000007080.11,HSPD1,TCGA-LUSC,CCDC124
ENSG00000007129,-0.494019881935088,0.726558864051415,21.3958933522232,4.74376966722725e-6,3.13558341468398e-5,ENSG00000007129.18,HSPD1,TCGA-LUSC,CEACAM21
ENSG00000007168,0.126841100939926,6.90621300017115,12.160302275539,5.2989481268905e-4,0.00188992486995052,ENSG00000007168.14,HSPD1,TCGA-LUSC,PAFAH1B1
ENSG00000007171,-0.290982786011634,5.55920715072669,1.11943391950461,0.29053609037801,0.390401960823383,ENSG00000007171.18,HSPD1,TCGA-LUSC,NOS2
